Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124539-203778,PF/C,Kyle,Kyle Filipowski,Filipowski,23.024998982747395,24,6200,LAL@UTA,UTA,LAL,,,,,,PF/C
124539-188422,SF/PF,Jaime,Jaime Jaquez,Jaquez,30.63199951171875,25,6200,MIA@BKN,MIA,BKN,,,,,,SF/PF
124539-9663,PG,Jrue,Jrue Holiday,Holiday,37.925000508626304,12,6200,SAC@POR,POR,SAC,D,Calf,,,,PG
124539-171668,PG,Collin,Collin Gillespie,Gillespie,27.51153799203726,26,6200,GS@PHO,PHO,GS,,,,,,PG
124539-84711,SG/SF,Grayson,Grayson Allen,Allen,29.711110432942707,18,6100,GS@PHO,PHO,GS,Q,Knee,,,,SG/SF
124539-171786,C,Mark,Mark Williams,Williams,30.436362526633523,22,6100,GS@PHO,PHO,GS,,,,,,C
124539-110356,SG/PG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,32.48,25,6100,ATL@CHA,ATL,CHA,,,,,,PG/SG
124539-63122,C/PF,Kristaps,Kristaps Porzingis,Porzingis,35.81538508488582,13,6000,ATL@CHA,ATL,CHA,O,Illness,,,,PF/C
124539-171767,PF/SF,Jabari,Jabari Smith,Smith,29.686362526633523,22,6000,HOU@NO,HOU,NO,,,,,,SF/PF
124539-110357,SG/SF,RJ,RJ Barrett,Barrett,32.435295553768384,17,6000,TOR@MIL,TOR,MIL,O,Knee,,,,SG/SF
124539-60233,SF/SG,Dillon,Dillon Brooks,Brooks,29.964999389648437,20,6000,GS@PHO,PHO,GS,,,,,,SG/SF
124539-40783,SF/SG,Zach,Zach LaVine,LaVine,27.68695599099864,23,6000,SAC@POR,SAC,POR,O,Ankle,,,,SG/SF
124539-203714,C,Donovan,Donovan Clingan,Clingan,30.081817626953125,22,6000,SAC@POR,POR,SAC,,,,,,C
124539-188426,SF/SG,Ausar,Ausar Thompson,Thompson,27.94090964577415,22,5900,DET@DAL,DET,DAL,,,,,,SG/SF
124539-15860,PF/C,Draymond,Draymond Green,Green,25.904761904761905,21,5900,GS@PHO,GS,PHO,,,,,,PF/C
124539-228131,PG/SG,Jeremiah,Jeremiah Fears,Fears,26.94814724392361,27,5900,HOU@NO,NO,HOU,,,,,,PG/SG
124539-145328,SF/PF,Saddiq,Saddiq Bey,Bey,27.25769277719351,26,5900,HOU@NO,NO,HOU,,,,,,SF/PF
124539-203730,C/PF,Kel'el,Kel'el Ware,Ware,29.81538508488582,26,5900,MIA@BKN,MIA,BKN,,,,,,PF/C
124539-157838,SG,Cam,Cam Thomas,Thomas,26.837499618530273,8,5800,MIA@BKN,BKN,MIA,O,Hamstring,,,,SG
124539-157907,SG/PG,Jalen,Jalen Green,Green,22.899999618530273,2,5800,GS@PHO,PHO,GS,D,Hamstring,,,,PG/SG
124539-84679,C,Marvin,Marvin Bagley,Bagley,21.339999389648437,20,5800,WAS@SA,WAS,SA,,,,,,C
124539-145324,SF/SG,Devin,Devin Vassell,Vassell,27.59199951171875,25,5800,WAS@SA,SA,WAS,,,,,,SG/SF
124539-159097,C,Jay,Jay Huff,Huff,22.21923123873197,26,5700,NY@IND,IND,NY,,,,,,C
124539-145819,SF/PF,Naji,Naji Marshall,Marshall,24.98518428096065,27,5700,DET@DAL,DAL,DET,,,,,,SF/PF
124539-110322,PG/SG,Jordan,Jordan Poole,Poole,25.61111111111111,9,5700,HOU@NO,NO,HOU,,,,,,PG/SG
124539-188447,SF/PF,Toumani,Toumani Camara,Camara,25.76923076923077,26,5600,SAC@POR,POR,SAC,,,,,,SF/PF
124539-157812,PG,Davion,Davion Mitchell,Mitchell,27.35199951171875,25,5600,MIA@BKN,MIA,BKN,,,,,,PG
124539-228722,PG,Ryan,Ryan Nembhard,Nembhard,17.87857164655413,14,5600,DET@DAL,DAL,DET,,,,,,PG
124539-58377,SF/PF,Kyle,Kyle Kuzma,Kuzma,24.53076876126803,26,5500,TOR@MIL,MIL,TOR,Q,Illness,,,,SF/PF
124539-84676,C,Wendell,Wendell Carter,Carter,26.68,25,5500,ORL@DEN,ORL,DEN,,,,,,C
