Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124495-213172,PF/SF,Nae'Qwan,Nae'Qwan Tomlin,Tomlin,16.038889567057293,18,3900,CLE@CHI,CLE,CHI,,,,,,SF/PF
124495-112708,SG/SF,Max,Max Strus,Strus,21.42542331501589,59,3900,CLE@CHI,CLE,CHI,O,Foot,,,,SG/SF
124495-67312,C,Thomas,Thomas Bryant,Bryant,8.344999694824219,20,3900,CLE@CHI,CLE,CHI,,,,,,C
124495-145308,PF/SF,Patrick,Patrick Williams,Williams,16.195833841959637,24,3800,CLE@CHI,CHI,CLE,,,,,,SF/PF
124495-145341,SF,Isaac,Isaac Okoro,Okoro,15.894118365119486,17,3800,CLE@CHI,CHI,CLE,,,,,,SF
124495-203719,SF,Terrence,Terrence Shannon,Shannon,8.3176466997932,17,3700,MEM@MIN,MIN,MEM,,,,,,SF
124495-9575,PG,Mike,Mike Conley,Conley,13.720832824707031,24,3700,MEM@MIN,MIN,MEM,O,Achilles,,,,PG
124495-171763,SF,Dalen,Dalen Terry,Terry,9.906667073567709,15,3700,CLE@CHI,CHI,CLE,,,,,,SF
124495-20992,C,Larry,Larry Nance,Nance,10.6875,16,3600,CLE@CHI,CLE,CHI,O,Calf,,,,C
124495-188453,SG,Jaylen,Jaylen Clark,Clark,10.183333079020182,24,3600,MEM@MIN,MIN,MEM,,,,,,SG
124495-188463,SF,Julian,Julian Phillips,Phillips,7.0227272727272725,22,3600,CLE@CHI,CHI,CLE,,,,,,SF
124495-228159,PG,Tyrese,Tyrese Proctor,Proctor,9.478947689658717,19,3600,CLE@CHI,CLE,CHI,,,,,,PG
124495-203718,PG,Rob,Rob Dillingham,Dillingham,9.391304347826088,23,3600,MEM@MIN,MIN,MEM,,,,,,PG
124495-84696,PG,Jevon,Jevon Carter,Carter,12.178571428571429,14,3600,CLE@CHI,CHI,CLE,,,,,,PG
124495-171658,SF,Johnny,Johnny Juzang,Juzang,1.6375000476837158,8,3500,MEM@MIN,MIN,MEM,,,,,,SF
124495-188424,PF,Olivier-Maxence,Olivier-Maxence Prosper,Prosper,7.4571429661342075,14,3500,MEM@MIN,MEM,MIN,,,,,,PF
124495-171661,PG/SG,Scotty,Scotty Pippen,Pippen,23.983529124540443,85,3500,MEM@MIN,MEM,MIN,O,Toe,,,,PG/SG
124495-228115,C,Joan,Joan Beringer,Beringer,4.377777947319879,9,3500,MEM@MIN,MIN,MEM,,,,,,C
124495-111376,SF,John,John Konchar,Konchar,11.331818320534445,22,3500,MEM@MIN,MEM,MIN,O,Thumb,,,,SF
124495-171798,SF,Luke,Luke Travers,Travers,8.245454268022018,11,3500,CLE@CHI,CLE,CHI,Q,Hamstring,,,,SF
124495-157845,PF/C,Evan,Evan Mobley,Mobley,41.9560009765625,25,3500,CLE@CHI,CLE,CHI,O,Calf,,,,PF/C
124495-228123,PF,Noa,Noa Essengue,Essengue,1.5,2,3500,CLE@CHI,CHI,CLE,O,Shoulder,,,,PF
124495-188444,PF/SF,GG,GG Jackson,Jackson,6.599999904632568,8,3500,MEM@MIN,MEM,MIN,,,,,,SF/PF
124495-188452,SF,Leonard,Leonard Miller,Miller,4.022222306993273,9,3500,MEM@MIN,MIN,MEM,,,,,,SF
124495-188465,SF,Chris,Chris Livingston,Livingston,5.700000127156575,3,3500,CLE@CHI,CLE,CHI,,,,,,SF
124495-228151,SG,Jahmai,Jahmai Mashack,Mashack,2.4666666984558105,3,3500,MEM@MIN,MEM,MIN,,,,,,SG
124495-59318,SG,Joe,Joe Ingles,Ingles,1.5,8,3500,MEM@MIN,MIN,MEM,,,,,,SG
124495-228152,C,Rocco,Rocco Zikarsky,Zikarsky,,0,3500,MEM@MIN,MIN,MEM,,,,,,C
124495-213181,SF,Trentyn,Trentyn Flowers,Flowers,2.8499999046325684,2,3500,CLE@CHI,CHI,CLE,,,,,,SF
124495-213191,SF,Emanuel,Emanuel Miller,Miller,6.1200000762939455,5,3500,CLE@CHI,CHI,CLE,,,,,,SF
124495-228168,PG,Javon,Javon Small,Small,8.949999809265137,8,3500,MEM@MIN,MEM,MIN,O,Toe,,,,PG
124495-228183,C,Lachlan,Lachlan Olbrich,Olbrich,3.540000152587891,5,3500,CLE@CHI,CHI,CLE,,,,,,C
124495-203734,C,Zach,Zach Edey,Edey,33.8545448996804,11,3500,MEM@MIN,MEM,MIN,O,Ankle,,,,C
124495-110331,PG/SG,Ty,Ty Jerome,Jerome,22.5126582278481,79,3500,MEM@MIN,MEM,MIN,O,Calf,,,,PG/SG
124495-203774,PF,Enrique,Enrique Freeman,Freeman,4.886363636363637,22,3500,MEM@MIN,MIN,MEM,,,,,,PF
